inoc_time,inoc_ratio,xylan_conc,butanol,Butanol (g/L)
24,0.5,60,4.594831844,6.8113787255456
24,0.5,70,6.2749099976,9.30192658044224
24,0.5,80,7.9703002297,11.815173060507279
24,1.0,60,5.5211559846,8.184561631571041
24,1.0,70,7.5367450284,11.17247083010016
24,1.0,80,9.6309116058,14.276863364437919
24,1.5,60,5.839008336,8.655745957286399
24,1.5,70,7.7901749684,11.548155373156158
24,1.5,80,9.7349248046,14.431052530339041
48,0.5,60,6.4448896004,9.55390434363296
48,0.5,70,8.7537933077,12.97662319933448
48,0.5,80,11.191576065,16.590392358756
48,1.0,60,6.6542400135,9.8642453960124
48,1.0,70,8.9744759713,13.30376317985512
48,1.0,80,11.413106646,16.9187892920304
48,1.5,60,6.1728490544,9.150631438242561
48,1.5,70,8.2931802964,12.29381047138336
48,1.5,80,10.603836994,15.7191279599056
72,0.5,60,8.3858025605,12.4311137156852
72,0.5,70,11.165817925,16.55220849202
72,0.5,80,13.957559895,20.690686788348
72,1.0,60,8.8588839392,13.132409551470081
72,1.0,70,12.063247168,17.8825576018432
72,1.0,80,15.461897706,22.920717159374398
72,1.5,60,8.871475642,13.1510754917008
72,1.5,70,12.225869158,18.1236284398192
72,1.5,80,15.743534807,23.3382159978968
36,0.5,60,5.6480583687,8.37268172576088
36,0.5,70,7.7129520357,11.43368009772168
36,0.5,80,9.8964289032,14.67046620610368
36,1.0,60,6.1967782706,9.18610410833744
36,1.0,70,8.3143048482,12.325125506971682
36,1.0,80,10.428543443,15.4592727999032
36,1.5,60,5.8563238085,8.681414413720399
36,1.5,70,7.6260315638,11.30482919017712
36,1.5,80,9.4200086532,13.96422082750368
60,0.5,60,7.2903867909,10.807269378830162
60,0.5,70,9.8419275053,14.58967333385672
60,0.5,80,12.520629323,18.5605809084152
60,1.0,60,7.5142278574,11.139091375809759
60,1.0,70,10.328779397,15.311382578112802
60,1.0,80,13.297057757,19.711558418976797
60,1.5,60,7.3570682777,10.90611801486248
60,1.5,70,10.132419248,15.020298293235198
60,1.5,80,13.205155088,19.575321902451197
24,2.0,60,5.6246926289,8.33804435308136
24,2.0,70,7.333085485,10.870565922964
24,2.0,80,9.0282664462,13.383502179846882
36,2.0,60,5.1859930226,7.68771605670224
36,2.0,70,6.7287961524,9.97476741631776
36,2.0,80,8.2465942738,12.22475135148112
48,2.0,60,5.5566278551,8.23714513240024
48,2.0,70,7.5481310906,11.18934952870544
48,2.0,80,9.7677689328,14.479740665982721
60,2.0,60,7.0365058626,10.43091629071824
60,2.0,70,9.8540967442,14.607713013602082
60,2.0,80,12.967538785,19.223079494884
72,2.0,60,8.8218996397,13.07758402589128
72,2.0,70,12.211642186,18.1025383765264
72,2.0,80,15.774382521,23.3839446491304
84,0.5,60,9.8156293599,14.550688963115762
84,0.5,70,12.436852566,18.4363902438384
84,0.5,80,15.040860459,22.2965715444216
84,1.0,60,11.420673514,16.9300064171536
84,1.0,70,13.961454182,20.6964596793968
84,1.0,80,16.424141215,24.347146937116
84,1.5,60,11.609024289,17.2092176060136
84,1.5,70,14.043697446,20.8183770939504
84,1.5,80,16.413279099,24.331044936357603
84,2.0,60,11.551961822,17.1246282049328
84,2.0,70,13.921049748,20.6365641464352
84,2.0,80,16.226915589,24.054779669133598
96,0.5,60,10.198128539,15.1177057462136
96,0.5,70,12.567349469,18.6298388528456
96,0.5,80,14.905809052,22.0963713386848
96,1.0,60,11.584317369,17.172592067805603
96,1.0,70,13.857369572,20.5421646535328
96,1.0,80,16.087719237,23.848434996928802
96,1.5,60,11.664752614,17.2918292749936
96,1.5,70,13.84686236,20.526588762463998
96,1.5,80,16.000755265,23.719519604835998
96,2.0,60,11.549698465,17.121273004516002
96,2.0,70,13.668978443,20.262893643903197
96,2.0,80,15.762137876,23.3657931873824
108,0.5,60,9.9351923706,14.72792917017744
108,0.5,70,12.154413648,18.017702791795198
108,0.5,80,14.363400355,21.292304686252
108,1.0,60,11.322061142,16.783823436900803
108,1.0,70,13.510957674,20.028643655937604
108,1.0,80,15.657381763,23.210502725471205
108,1.5,60,11.383401067,16.8747537417208
108,1.5,70,13.492732373,20.0016264697352
108,1.5,80,15.565730893,23.0746394757832
108,2.0,60,11.246221296,16.6713984491904
108,2.0,70,13.295440973,19.7091616983752
108,2.0,80,15.30912115,22.69424119276
110,0.5,80,14.252040782,21.1272252552368
110,1.0,80,15.583055558,23.100321559179203
110,1.5,80,15.495252725,22.97016263954
110,2.0,80,15.237262426,22.587717820302398
122,0.5,80,13.472694754,19.971922703329604
122,1.0,80,15.111499145,22.401286332548
122,1.5,80,15.076421695,22.349287520668
122,2.0,80,14.815062951,21.961849318562397
134,0.5,80,12.473457053,18.4906527353672
134,1.0,80,14.557532117,21.5800856102408
134,1.5,80,14.639214293,21.701171267943202
134,2.0,80,14.396307606,21.3410863951344
146,0.5,80,11.165696675,16.55202875102
146,1.0,80,13.817765213,20.483455151751198
146,1.5,80,14.148337011,20.973494785106396
146,2.0,80,13.967387298,20.705254930555203
158,0.5,80,9.3984447703,13.93225452749272
158,1.0,80,12.647165388,18.7481579711712
158,1.5,80,13.455572843,19.9465411824632
158,2.0,80,13.465733267,19.9616029950008
160,0.5,80,9.0447070937,13.40787379570088
160,1.0,80,12.377505604,18.348414307369598
160,1.5,80,13.293860373,19.7068186169352
160,2.0,80,13.360635184,19.8058055967616
172,0.5,80,6.4524397163,9.56509663544312
172,1.0,80,9.9437931551,14.74067897312024
172,1.5,80,11.607334229,17.2067122610696
172,2.0,80,12.258747664,18.1723675371136
110,0.5,60,9.8630067336,14.620921181888642
110,0.5,70,12.061149621,17.879448198170397
110,1.0,60,11.272481614,16.7103267445936
110,1.0,70,13.449614211,19.937708106386403
110,1.5,60,11.338393608,16.808034684499198
110,1.5,70,13.436000145,19.917526614948
110,2.0,60,11.200267777,16.6032769526248
110,2.0,70,13.237665423,19.623515223055197
122,0.5,60,9.30635876,13.795746225823999
122,0.5,70,11.384179207,16.8759072564568
122,1.0,60,10.935614212,16.210954507868802
122,1.0,70,13.048796072,19.3435352971328
122,1.5,60,11.068628943,16.4081355451032
122,1.5,70,13.096822883,19.4147302417592
122,2.0,60,10.938416475,16.21510858254
122,2.0,70,12.902264597,19.126317038592802
134,0.5,60,8.549713304,12.6740950018496
134,0.5,70,10.496623849,15.560195193757602
134,1.0,60,10.496466306,15.559961652014401
134,1.0,70,12.553235249,18.6089159331176
134,1.5,60,10.774061663,15.9714690092312
134,1.5,70,12.738655383,18.883782739759198
134,2.0,60,10.681135753,15.833715640247199
134,2.0,70,12.571259267,18.6356347374008
146,0.5,60,7.5612586863,11.208809876571122
146,0.5,70,9.3378387498,13.842412162703518
146,1.0,60,9.8645036977,14.62314028147048
146,1.0,70,11.862296304,17.584668041049596
146,1.5,60,10.393198094,15.406876854545601
146,1.5,70,12.307877135,18.245197064924
146,2.0,60,10.396299415,15.411474252796
146,2.0,70,12.220839152,18.1161719589248
158,0.5,60,6.2656305882,9.28817078394768
158,0.5,70,7.7968987938,11.558122771929119
158,1.0,60,8.8571713802,13.12987085400848
158,1.0,70,10.75752319,15.946952376856
158,1.5,60,9.768511081,14.480840826474399
158,1.5,70,11.646527396,17.264812211830403
158,2.0,60,9.9890950095,14.8078344420828
158,2.0,70,11.771731059,17.450414121861602
160,0.5,60,6.0123095166,8.91264762740784
160,0.5,70,7.4922696939,11.10654059423736
160,1.0,60,8.6312748004,12.795001764112959
160,1.0,70,10.505970441,15.574050581738401
160,1.5,60,9.6170344853,14.256291921008721
160,1.5,70,11.487982202,17.0297848162448
160,2.0,60,9.8917392189,14.66351421809736
160,2.0,70,11.670715613,17.3006688247112
172,0.5,60,4.2088856974,6.239252157825761
172,0.5,70,5.2934849996,7.84706216340704
172,1.0,60,6.7133497188,9.95186962314912
172,1.0,70,8.3039323814,12.309749362187357
172,1.5,60,8.1087031885,12.0203416066324
172,1.5,70,9.8628986473,14.62076095475752
172,2.0,60,8.819619635,13.074204146924002
172,2.0,70,10.569536986,15.668281628046401
