inoc_time,inoc_ratio,xylan_conc,butanol
40,0.6,40,1.454729129
40,0.6,50,1.454729129
40,0.6,60,1.454729129
40,1.0,40,1.7984892063
40,1.0,50,1.7984892063
40,1.0,60,1.7984892063
40,1.3,40,1.961703161
40,1.3,50,1.961703161
40,1.3,60,1.961703161
50,0.6,40,1.2915323385
50,0.6,50,1.2915323385
50,0.6,60,1.2915323385
50,1.0,40,1.6098534931
50,1.0,50,1.6098534931
50,1.0,60,1.6098534931
50,1.3,40,1.7630356117
50,1.3,50,1.7630356117
50,1.3,60,1.7630356117
60,0.6,40,1.1294219825
60,0.6,50,1.1294219825
60,0.6,60,1.1294219825
60,1.0,40,1.416362151
60,1.0,50,1.416362151
60,1.0,60,1.416362151
60,1.3,40,1.5581347726
60,1.3,50,1.5581347726
60,1.3,60,1.5581347726
