inoc_time,inoc_ratio,xylan_conc,butanol
24,0.5,60,4.594831844
24,0.5,70,6.2749099976
24,0.5,80,7.9703002297
24,1.0,60,5.5211559846
24,1.0,70,7.5367450284
24,1.0,80,9.6309116058
24,1.5,60,5.839008336
24,1.5,70,7.7901749684
24,1.5,80,9.7349248046
48,0.5,60,6.4448896004
48,0.5,70,8.7537933077
48,0.5,80,11.191576065
48,1.0,60,6.6542400135
48,1.0,70,8.9744759713
48,1.0,80,11.413106646
48,1.5,60,6.1728490544
48,1.5,70,8.2931802964
48,1.5,80,10.603836994
72,0.5,60,8.3858025605
72,0.5,70,11.165817925
72,0.5,80,13.957559895
72,1.0,60,8.8588839392
72,1.0,70,12.063247168
72,1.0,80,15.461897706
72,1.5,60,8.871475642
72,1.5,70,12.225869158
72,1.5,80,15.743534807
