time,concentration,product
0,2.84E-14,CA
1.975887475,11.32452611,CA
4.018754186,15.41114947,CA
6.028131279,19.07826266,CA
7.937039518,24.63369852,CA
9.912926993,30.81836449,CA
12.02277294,25.88386831,CA
13.9651708,32.59308006,CA
15.94105827,31.6448789,CA
18.0174146,28.59856486,CA
25.98794374,43.79163368,CA
32.01607502,46.29646977,CA
40.02009377,53.30765015,CA
48.02411253,61.05309627,CA
0,0.1048951,SAA
1.97588747,9.64620443,SAA
4.0522438,14.0474428,SAA
6.02813128,20.1272137,SAA
7.93703952,21.3819503,SAA
9.91292699,24.2099729,SAA
11.9892833,25.359463,SAA
13.9651708,31.2294437,SAA
15.9075687,30.491103,SAA
18.0174146,27.0251383,SAA
25.9879437,32.8825428,SAA
32.016075,36.0167495,SAA
40.0200938,34.0069509,SAA
48.0241125,35.9831662,SAA
0,2.84E-14,RA
1.94239786,14.0518691,RA
4.0522438,20.1313589,RA
6.02813128,28.7286123,RA
7.93703952,30.4029293,RA
9.91292699,33.2309519,RA
12.0227729,37.3174347,RA
13.9651708,39.4112619,RA
15.9410583,43.4980258,RA
18.0174146,47.5845789,RA
25.9879437,72.113312,RA
32.016075,97.485281,RA
40.0200938,98.7272306,RA
48.0241125,102.067082,RA
