time,subpopulation_percentage,strain
1.78E-14,0.333034111,CAL2
1.960110041,0.330341113,CAL2
4.057771664,0.333931777,CAL2
6.017881706,0.375224417,CAL2
7.977991747,0.384201077,CAL2
9.938101788,0.387791742,CAL2
12.03576341,0.425493716,CAL2
13.99587345,0.448833034,CAL2
15.95598349,0.490125673,CAL2
18.05364512,0.527827648,CAL2
25.99724897,0.517055655,CAL2
32.01513067,0.514362657,CAL2
39.95873453,0.510771993,CAL2
47.93672627,0.509874327,CAL2
1.95E-14,0.5,SAL9
1.960110041,0.438958707,SAL9
4.057771664,0.429084381,SAL9
6.017881706,0.357271095,SAL9
7.977991747,0.336624776,SAL9
9.938101788,0.323159785,SAL9
12.03576341,0.255834829,SAL9
13.99587345,0.193895871,SAL9
15.95598349,0.18043088,SAL9
18.05364512,0.15529623,SAL9
25.99724897,0.156193896,SAL9
32.01513067,0.139138241,SAL9
39.95873453,0.149012567,SAL9
47.93672627,0.162477558,SAL9
1.78E-14,0.166068223,MAM2
1.925722146,0.236086176,MAM2
4.057771664,0.241472172,MAM2
6.017881706,0.271992819,MAM2
7.977991747,0.280969479,MAM2
9.938101788,0.292639138,MAM2
12.03576341,0.322262119,MAM2
13.99587345,0.360861759,MAM2
15.95598349,0.333034111,MAM2
18.05364512,0.31956912,MAM2
25.99724897,0.326750449,MAM2
32.01513067,0.350089767,MAM2
39.92434663,0.343806104,MAM2
47.93672627,0.333034111,MAM2
