inoculation_ratio,glc_xyl_ratio,exp_val
"(2, 3, 1)","(1, 4)",45.61797753
"(2, 3, 1)","(2, 3)",53.3802389
"(2, 3, 1)","(3, 2)",135.3932674
"(2, 3, 1)","(4, 1)",63.59264498
"(1, 3, 1)","(1, 4)",43.07116105
"(1, 3, 1)","(2, 3)",59.72553855
"(1, 3, 1)","(3, 2)",114.0750709
"(1, 3, 1)","(4, 1)",66.08203678
"(3, 3, 1)","(1, 4)",48.61423221
"(3, 3, 1)","(2, 3)",54.63114058
"(3, 3, 1)","(3, 2)",137.9715206
"(3, 3, 1)","(4, 1)",43.45120226
"(1, 1, 1)","(1, 4)",47.71535581
"(1, 1, 1)","(2, 3)",55.34738267
"(1, 1, 1)","(3, 2)",132.2030315
"(1, 1, 1)","(4, 1)",42.77227723
"(1, 2, 1)","(1, 4)",45.6928839
"(1, 2, 1)","(2, 3)",52.97677676
"(1, 2, 1)","(3, 2)",117.5836656
"(1, 2, 1)","(4, 1)",78.52899576
"(2, 2, 1)","(1, 4)",48.61423221
"(2, 2, 1)","(2, 3)",52.96668884
"(2, 2, 1)","(3, 2)",136.2168243
"(2, 2, 1)","(4, 1)",44.58274399
"(2, 1, 1)","(1, 4)",37.00374532
"(2, 1, 1)","(2, 3)",53.95530469
"(2, 1, 1)","(3, 2)",165.8552997
"(2, 1, 1)","(4, 1)",45.71428571
"(3, 1, 1)","(1, 4)",38.95131086
"(3, 1, 1)","(2, 3)",55.03471178
"(3, 1, 1)","(3, 2)",153.1492775
"(3, 1, 1)","(4, 1)",43.22489392
"(3, 2, 1)","(1, 4)",37.22846442
"(3, 2, 1)","(2, 3)",52.39145947
"(3, 2, 1)","(3, 2)",143.5530372
"(3, 2, 1)","(4, 1)",125.8274399
