PM_ID,Title,Abstract,Journal,Year,PMC_ID,DOI,Classification,Community type,Substrate,Product,Organisms,E. coli role,Clostridium role
34348711,Development and optimization of a microbial co-culture system for heterologous indigo biosynthesis.,"Indigo is a color molecule with a long history of being used as a textile dye. The conventional production methods are facing increasing economy, sustainability and environmental challenges. Therefore, developing a green synthesis method converting renewable feedstocks to indigo using engineered microbes is of great research and application interest. However, the efficiency of the indigo microbial biosynthesis is still low and needs to be improved by proper metabolic engineering strategies.",Microbial cell factories,2021,8336371,10.1186/s12934-021-01636-w,1,Defined,Glycerol,Indigo,Escherichia coli,,
34073991,"Application of Co-Culture Technology to Enhance Protease Production by Two Halophilic Bacteria, <i>Marinirhabdus</i> sp. and <i>Marinobacter hydrocarbonoclasticus</i>.","Although axenic microbial cultures form the basis of many large successful industrial biotechnologies, the production of single commercial microbial strains for use in large environmental biotechnologies such as wastewater treatment has proved less successful. This study aimed to evaluate the potential of the co-culture of two halophilic bacteria, <i>Marinirhabdus</i> sp. and <i>Marinobacter hydrocarbonoclasticus</i> for enhanced protease activity. The co-culture was significantly more productive than monoculture (1.6-2.0 times more growth), with <i>Marinobacter hydrocarbonoclasticus</i> being predominant (64%). In terms of protease activity, enhanced total activity (1.8-2.4 times) was observed in the co-culture. Importantly, protease activity in the co-culture was found to remain active over a much broader range of environmental conditions (temperature 25 °C to 60 °C, pH 4-12, and 10-30% salinity, respectively). This study confirms that the co-culturing of halophilic bacteria represents an economical approach as it resulted in both increased biomass and protease production, the latter which showed activity over arange of environmental conditions.","Molecules (Basel, Switzerland)",2021,8197384,10.3390/molecules26113141,1,Defined,Casein,Protease,"Marinirhabdus sp, Marinobacter hydrocarbonoclasticus",,
34656153,Comprehensive evaluation for the one-pot biosynthesis of butyl acetate by using microbial mono- and co-cultures.,"Butyl acetate has shown wide applications in food, cosmetics, medicine, and biofuel sectors. These short-chain fatty acid esters can be produced by either chemical or biological synthetic process with corresponding alcohols and acids. Currently, biosynthesis of short chain fatty acid esters, such as butyl butyrate, through microbial fermentation systems has been achieved; however, few studies regarding biosynthesis of butyl acetate were reported.",Biotechnology for biofuels,2021,8520270,10.1186/s13068-021-02053-2,1,Defined,Glucose,Butyl acetate,"Clostridium acetobutylicum, Actinobacillus succinogenes",,Butanol production
22015987,Synthetic Escherichia coli consortia engineered for syntrophy demonstrate enhanced biomass productivity.,"Synthetic Escherichia coli consortia engineered for syntrophy demonstrated enhanced biomass productivity relative to monocultures. Binary consortia were designed to mimic a ubiquitous, naturally occurring ecological template of primary productivity supported by secondary consumption. The synthetic consortia replicated this evolution-proven strategy by combining a glucose positive E. coli strain, which served as the system's primary producer, with a glucose negative E. coli strain which consumed metabolic byproducts from the primary producer. The engineered consortia utilized strategic division of labor to simultaneously optimize multiple tasks enhancing overall culture performance. Consortial interactions resulted in the emergent property of enhanced system biomass productivity which was demonstrated with three distinct culturing systems: batch, chemostat and biofilm growth. Glucose-based biomass productivity increased by ∼15, 20 and 50% compared to appropriate monoculture controls for these three culturing systems, respectively. Interestingly, the consortial interactions also produced biofilms with predictable, self-assembling, laminated microstructures. This study establishes a metabolic engineering paradigm which can be easily adapted to existing E. coli based bioprocesses to improve productivity based on a robust ecological theme.",Journal of biotechnology,2012,3549274,10.1016/j.jbiotec.2011.10.001,1,Defined,Glucose,Biomass,Escherichia coli,,
35538542,De novo biosynthesis of p-coumaric acid and caffeic acid from carboxymethyl-cellulose by microbial co-culture strategy.,"Aromatic compounds, such as p-coumaric acid (p-CA) and caffeic acid, are secondary metabolites of various plants, and are widely used in diet and industry for their biological activities. In addition to expensive and unsustainable methods of plant extraction and chemical synthesis, the strategy for heterologous synthesis of aromatic compounds in microorganisms has received much attention. As the most abundant renewable resource in the world, lignocellulose is an economical and environmentally friendly alternative to edible, high-cost carbon sources such as glucose.",Microbial cell factories,2022,9088102,10.1186/s12934-022-01805-5,1,Defined,Lignocellulose,"P-coumaric acid, Caffeic acid",Saccharomyces cerevisiae,,
34370382,Adaptive laboratory evolution of microbial co-cultures for improved metabolite secretion.,"Adaptive laboratory evolution has proven highly effective for obtaining microorganisms with enhanced capabilities. Yet, this method is inherently restricted to the traits that are positively linked to cell fitness, such as nutrient utilization. Here, we introduce coevolution of obligatory mutualistic communities for improving secretion of fitness-costly metabolites through natural selection. In this strategy, metabolic cross-feeding connects secretion of the target metabolite, despite its cost to the secretor, to the survival and proliferation of the entire community. We thus co-evolved wild-type lactic acid bacteria and engineered auxotrophic Saccharomyces cerevisiae in a synthetic growth medium leading to bacterial isolates with enhanced secretion of two B-group vitamins, viz., riboflavin and folate. The increased production was specific to the targeted vitamin, and evident also in milk, a more complex nutrient environment that naturally contains vitamins. Genomic, proteomic and metabolomic analyses of the evolved lactic acid bacteria, in combination with flux balance analysis, showed altered metabolic regulation towards increased supply of the vitamin precursors. Together, our findings demonstrate how microbial metabolism adapts to mutualistic lifestyle through enhanced metabolite exchange.",Molecular systems biology,2021,8351387,10.15252/msb.202010189,1,Defined,Amino acid medium,Vitamins,"Lactobacillus plantarum, Saccharomyces cerevisiae",,
12619667,Extracellular acidic polysaccharide production by a two-membered bacterial coculture.,"A two-membered coculture of strains KYM-7 and KYM-8, identified as Cellulomonas cellulans and Agrobacterium tumefaciens, respectively, produced a large amount of an extracellular polysaccharide, designated APK-78, from starch. Each strain in pure culture produced only very little amount of polysaccharide from starch; the coexistence of the two strains from the early stage of cultivation was indispensable for a large amount of polysaccharide to be produced. The polysaccharide APK-78 was acidic and composed of glucose, galactose, succinic acid, and pyruvic acid with a molar ratio of 8.1:1.0:1.7:1.0, indicating that it is a succinoglycan type of polysaccharide.","Bioscience, biotechnology, and biochemistry",2003,None,10.1271/bbb.67.8,1,Defined,Starch,Polysaccharide,"Cellulomonas cellulans, Agrobacterium tumefaciens",,
32863734,Metabolic modeling of bacterial co-culture systems predicts enhanced carbon monoxide-to-butyrate conversion compared to monoculture systems.,"We used metabolic modeling to computationally investigate the potential of bacterial coculture system designs for CO conversion to the platform chemical butyrate. By taking advantage of the native capabilities of wild-type strains, we developed two anaerobic coculture designs by combining <i>Clostridium autoethanogenum</i> for CO-to-acetate conversion with bacterial strains that offer high acetate-to-butyrate conversion capabilities: the environmental bacterium the human gut bacterium<i>Eubacterium rectale</i>. When grown in continuous stirred tank reactor on a 70/0/30 CO/H<sub>2</sub>/N<sub>2</sub> gas mixture, the C. autoethanogenum-<i>C Kluyveri</i> co-culture was predicted to offer no mprovement in butyrate volumetric productivity compared to an engineered <i>C. autoethanogenum</i> monoculture despite utilizing vinyl acetate as a secondary carbon source for <i>C. kluyveri</i> growth enhancement. A coculture consisting of <i>C. autoethanogenum</i> and <i>C. kluyveri</i> engineered in silico to eliminate hexanoate synthesis was predicted to enhance both butyrate productivity and titer. The <i>C. autoethanogenum-E. rectale</i> coculture offered similar improvements in butyrate productivity without the need for metabolic engineering when glucose was provided as a secondary carbon source to enhance <i>E. rectale</i> growth. A bubble column model developed to assess the potential for large-scale butyrate production of the <i>C. autoethanogenum-E. rectale</i> design predicted that a 40/30/30 CO/H<sub>2</sub>/N<sub>2</sub> gas mixture and a 5 m column length would be preferred to enhance <i>C. autoethanogenum</i> growth and counteract CO inhibitory effects on <i>E. rectale.</i>",Biochemical engineering journal,2019,7449128,10.1016/j.bej.2019.107338,1,Defined,CO,Butyrate,"Clostridium autoethanogenum, Eubacterium rectale, Clostridium kluyveri",,"CO-to-acetate conversion, Butyrate production"
25470793,Rationally engineered synthetic coculture for improved biomass and product formation.,"In microbial ecosystems, bacteria are dependent on dynamic interspecific interactions related to carbon and energy flow. Substrates and end-metabolites are rapidly converted to other compounds, which protects the community from high concentrations of inhibitory molecules. In biotechnological applications, pure cultures are preferred because of the more straight-forward metabolic engineering and bioprocess control. However, the accumulation of unwanted side products can limit the cell growth and process efficiency. In this study, a rationally engineered coculture with a carbon channeling system was constructed using two well-characterized model strains Escherichia coli K12 and Acinetobacter baylyi ADP1. The directed carbon flow resulted in efficient acetate removal, and the coculture showed symbiotic nature in terms of substrate utilization and growth. Recombinant protein production was used as a proof-of-principle example to demonstrate the coculture utility and the effects on product formation. As a result, the biomass and recombinant protein titers of E. coli were enhanced in both minimal and rich medium simple batch cocultures. Finally, harnessing both the strains to the production resulted in enhanced recombinant protein titers. The study demonstrates the potential of rationally engineered cocultures for synthetic biology applications.",PloS one,2014,4254613,10.1371/journal.pone.0113786,1,Defined,Glucose,Recombinant protein,"Escherichia coli, Acinetobacter baylyi",,
30390509,"Shaping microbial consortia in coupling glycerol fermentation and carboxylate chain elongation for Co-production of 1,3-propanediol and caproate: Pathways and mechanisms.","Glycerol is presently being generated in surplus with the rapid growth of the biodiesel industry and seeks ways to be upcycled, rather than to be treated with costs. Glycerol for the co-production of 1,3-propanediol (1,3-PDO) and caproate has a great prospect. Yet, its technical difficulty lies in the enhancement of caproate productivity, which requires the presence of ethanol as a co-substrate and necessitates the co-existence of functional microbes for glycerol fermentation and chain elongation. This study successfully achieved 6.38 mM C 1,3-PDO d<sup>-1</sup> and 2.95 mM C caproate d<sup>-1</sup> in a 2-L mixed-cultured semi-continuous fermenter with a glycerol-ethanol-acetate stoichiometric ratio of 4:3:1. Such conversions were mainly facilitated by a microbial community of Eubacterium limosum, Clostridium kluyveri and Massilibacterium senegalense. With such a synergistic microbiome, the co-production of 1,3-PDO and caproate was achieved from glycerol without ethanol addition. Based on metagenomics, E. limosum is capable of converting glycerol to 1,3-PDO, ethanol and H<sub>2</sub>, and also redirecting the electron potential of H<sub>2</sub> into acetate via the Wood-Ljungdahl pathway, which is then used for chain elongation. C. kluyveri worked synergistically with E. limosum by consuming ethanol and acetate for caproate production. M. senegalense encodes for ethanol oxidation to acetate and butyrate, facilitating the generation of these intermediates for C. kluyveri elongation to caproate. During the transition between fermentation and elongation, an unexpected observation of poly-β-hydroxybutyrate (PHB) formation and reutilization by M. senegalense may be associated with butyrate formation for further caproate generation. The knowledge gleaned from the substrate constitute, microbial consortium and their synergetic metabolism demonstrates a resource upgrade potential for crude glycerol or glycerol-containing wastewater generated from the biodiesel industry.",Water research,2019,None,10.1016/j.watres.2018.10.063,1,Defined,Glycerol,"1,3-Propanediol, Caproate","Eubacterium limosum, Clostridium kluyveri, Massilibacterium senegalense",,Caproate production
