,Unnamed: 0,PM_ID,Title,Abstract,Journal,Year,PMC_ID,DOI,Classification,GPT-3 verdict
0,9,24894538,Illumina sequencing-based analyses of bacterial communities during short-chain fatty-acid production from food waste and sewage sludge fermentation at different pH values.,"Short-chain fatty acids (SCFAs) can be produced by primary and waste activated sludge anaerobic fermentation. The yield and product spectrum distribution of SCFAs can be significantly affected by different initial pH values. However, most studies have focused on the physical and chemical aspects of SCFA production by waste activated sludge fermentation at different pH values. Information on the bacterial community structures during acidogenic fermentation is limited. In this study, comparisons of the bacterial communities during the co-substrate fermentation of food wastes and sewage sludge at different pH values were performed using the barcoded Illumina paired-end sequencing method. The results showed that different pH environments harbored a characteristic bacterial community, including sequences related to Lactobacillus, Prevotella, Mitsuokella, Treponema, Clostridium, and Ureibacillus. The most abundant bacterial operational taxonomic units in the different pH environments were those related to carbohydrate-degrading bacteria, which are associated with constituents of co-substrate fermentation. Further analyses showed that during organic matter fermentation, a core microbiota composed of Firmicutes, Proteobacteria, and Bacteroidetes existed. Comparison analyses revealed that the bacterial community during fermentation was significantly affected by the pH, and that the diverse product distribution was related to the shift in bacterial communities. ",World journal of microbiology & biotechnology,2014,None,10.1007/s11274-014-1664-6,1,"The scientific article does not explicitly state whether the product production was conducted using a synthetic community or co-culture. However, based on the information provided in the abstract, it is possible that the product production was conducted using a co-culture."
1,11,32247457,"Shotgun metagenomics approach reveals the bacterial community and metabolic pathways in commercial hongeo product, a traditional Korean fermented skate product.","The aim of this study was to investigate the microbial diversity and microbial metabolic pathways using a metagenomic approach in commercial hongeo samples collected from five different fish processing plants. Community comparison analysis indicated that hongeo samples from different fish processing plants have a similar microbial structure at genus level, but the relative abundance of these genera showed a significant difference among different hongeo samples. Four bacterial genera including Psychrobacter, Pseudomonas, Clostridium, and Oblitimonas were detected in all hongeo samples with a high relative abundance, which associated with the nitrogen compound accumulation and ammonia flavor formation in hongeo samples. In addition, some alkaliphilic marine lactic acid bacteria (LAB) belonging to the genera Marinilactibacillus and Jeotgalibaca were detected in hongeo samples, indicating that this product might be a useful source for finding novel bacteria and possibly marine LAB. Through functional profiling analysis, it was found that hongeo samples had higher bacterial gene content related to amino acid metabolism, followed by carbohydrate metabolism and inorganic ion metabolism. The results of this study provide an important information for understanding the mechanism of quality characteristics and ammonia flavor formation in hongeo products.","Food research international (Ottawa, Ont.)",2020,None,10.1016/j.foodres.2020.109030,1,"The article does not mention anything about synthetic communities or co-cultures. Therefore, it is safe to assume that the product is produced using naturally occurring bacteria."
2,31,19002762,Hydrogen production and anaerobic decolorization of wastewater containing Reactive Blue 4 by a bacterial consortium of Salmonella subterranea and Paenibacillus polymyxa.,"Anaerobic biodegradability of wastewater (3,000 mg CODcr/l) containing 300 mg/l Reactive Blue 4, with different co-substrates, glucose, butyrate and propionate by a bacterial consortium of Salmonella subterranea and Paenibacillus polymyxa, concomitantly with hydrogen production was investigated at 35 degrees C. The accumulative hydrogen production at 3,067 mg CODcr/l was obtained after 7 days of incubation with glucose, sludge, the bacterial consortium. The volatile fatty acids, residual glucose and the total organic carbon were correlated to hydrogen obtained. Interestingly, the bacterial consortium possess decolorization ability showing approximately 24% dye removal after 24 h incubation using glucose as a co-substrate, which was about two and eight times those of butyrate (10%), propionate (12%) and control (3%), respectively. RB4 decolorization occurred through acidogenesis, as high volatile fatty acids but low methane was detected. The bacterial consortium will be the bacterial strains of interest for further decolorization and hydrogen production of industrial waste water.",Biodegradation,2009,None,10.1007/s10532-008-9232-0,1,"The article does not specifically mention whether the bacterial consortium is a synthetic community or a co-culture. However, given that the consortium is composed of two different types of bacteria, it is likely that it is a co-culture."
3,50,17897210,Bacterial community dynamics and product distribution during pH-adjusted fermentation of vegetable wastes.,To estimate the effect of pH on the structures of bacterial community during fermentation of vegetable wastes and to investigate the relationship between bacterial community dynamics and product distribution.,Journal of applied microbiology,2007,None,10.1111/j.1365-2672.2007.03321.x,1,"The article does not specify whether the bacterial community is synthetic or not. However, based on the title and abstract, it seems that the article is concerned with product production using a bacterial community."
4,69,21954885,"Glionitrin B, a cancer invasion inhibitory diketopiperazine produced by microbial coculture.","A new diketopiperazine, glionitrin B (1), was produced using a microbial coculture of the fungus Aspergillus fumigatus KMC-901 and the bacterium Sphingomonas sp. KMK-001 that were isolated from acidic coal mine drainage. The structure of 1 was determined to be (3S,10aS)-dithiomethylglionitrin A. This structure was determined by the analyses of extensive NMR data and the circular dichroism spectra of the natural product and a semisynthetic compound derived from glionitrin A. In contrast to glionitrin A (2), glionitrin B (1) is not cytotoxic against the human prostate cancer cell line DU145. However, compound 1 caused suppression of DU145 cell invasion, producing 46% inhibition at 60 μM.",Journal of natural products,2011,None,10.1021/np200563x,1,The article is about the production of glionitrin B using a microbial co-culture.
5,70,25928424,Illumina MiSeq Sequencing Reveals Diverse Microbial Communities of Activated Sludge Systems Stimulated by Different Aromatics for Indigo Biosynthesis from Indole.,"Indole, as a typical N-heteroaromatic compound existed in coking wastewater, can be used for bio-indigo production. The microbial production of indigo from indole has been widely reported during the last decades using culture-dependent methods, but few studies have been carried out by microbial communities. Herein, three activated sludge systems stimulated by different aromatics, i.e. naphthalene plus indole (G1), phenol plus indole (G2) and indole only (G3), were constructed for indigo production from indole. During the operation, G1 produced the highest indigo yield in the early stage, but it switched to G3 in the late stage. Based on LC-MS analysis, indigo was the major product in G1 and G3, while the purple product 2-(7-oxo-1H-indol-6(7H)-ylidene) indolin-3-one was dominant in G2. Illumina MiSeq sequencing of 16S rRNA gene amplicons was applied to analyze the microbial community structure and composition. Detrended correspondence analysis (DCA) and dissimilarity tests showed that the overall community structures of three groups changed significantly during the operation (P<0.05). Nevertheless, the bacteria assigned to phylum Proteobacteria, family Comamonadaceae, and genera Diaphorobacter, Comamonas and Aquamicrobium were commonly shared dominant populations. Pearson correlations were calculated to discern the relationship between microbial communities and indigo yields. The typical indigo-producing populations Comamonas and Pseudomonas showed no positive correlations with indigo yields, while there emerged many other genera that exhibited positive relationships, such as Aquamicrobium, Truepera and Pusillimonas, which had not been reported for indigo production previously. The present study should provide new insights into indigo bio-production by microbial communities from indole. ",PloS one,2015,4416020,10.1371/journal.pone.0125732,1,This article does not concern product production using a synthetic community or co-culture.
6,142,25648981,Cellulosic ethanol production by natural bacterial consortia is enhanced by Pseudoxanthomonas taiwanensis.,"Natural bacterial consortia are considered a promising solution for one-step production of ethanol from lignocellulose because of their adaptation to a wide range of natural lignocellulosic substrates and their capacity for efficient cellulose degradation. However, their low ethanol conversion efficiency has greatly limited the development and application of natural bacterial consortia.",Biotechnology for biofuels,2015,4308921,10.1186/s13068-014-0186-7,1,"The scientific article does not specifically mention whether the product production uses a synthetic community or co-culture. However, based on the information provided in the abstract, it seems that the product production uses natural bacterial consortia."
7,159,11539747,Analysis of lipophilic pigments from a phototrophic microbial mat community by high performance liquid chromatography.,"As assay for lipophilic pigments in phototrophic microbial mat communities using reverse phase-high performance liquid chromatography was developed which allows the separation of 15 carotenoids and chloropigments in a single 30 min program.  Lipophilic pigments in a laminated mat from a commercial salina near Laguna Guerrero Negro, Baja California Sur, Mexico reflected their source organisms.  Myxoxanthophyll, echinenone, canthaxanthin, and zeaxanthin were derived from cyanobacteria; chlorophyll c, and fucoxanthin from diatoms; chlorophyll a from cyanobacteria and diatoms; bacteriochlorophylls a and c, bacteriophaeophytin a, and gamma-carotene from Chloroflexus spp.; and beta-carotene from a variety of phototrophs.  Sensitivity of detection was 0.6-6.1 ng for carotenoids and 1.7-12 ng for most chloropigments.  This assay represents a significant improvement over previous analyses of lipophilic pigments in microbial mats and promises to have a wider application to other types of phototrophic communities.",Journal of microbiological methods,1988,None,10.1016/0167-7012(88)90003-6,1,No
8,243,35288267,Applications of synthetic light-driven microbial consortia for biochemicals production.,"Synthetic microbial consortia provide a versatile and efficient platform for biochemicals production through the labor division. Especially, microbial communities composed of phototrophs and heterotrophs offer a promising alternative, as they can directly convert carbon dioxide (CO<sub>2</sub>) into chemicals. Within this system, photoautotrophic microbes can convert CO<sub>2</sub> into organic carbon for microbial growth and metabolites synthesis by the heterotrophic partners. In return, heterotrophs can provide additional CO<sub>2</sub> to support the growth of photoautotrophic microbes. However, the unmatched growing conditions, low stability and production efficiency of synthetic microbial consortia hinder their further applications. Thus, design and construction of mutualistic and stable synthetic light-driven microbial consortia are urgently needed. In this review, the progress of synthetic light-driven microbial consortia for chemicals production was comprehensively summarized. In addition, space-efficient synthetic light-driven microbial consortia in hydrogel system were reviewed. Perspectives on orderly distribution of light-driven microbial consortia associated with 3D printing technology in biomanufacturing were also addressed.",Bioresource technology,2022,None,10.1016/j.biortech.2022.126954,1,"The scientific article ""Applications of synthetic light-driven microbial consortia for biochemicals production"" focuses on product production using a synthetic community or co-culture."
9,275,29736820,Microbial co-culturing systems: butanol production from organic wastes through consolidated bioprocessing.,"Biobutanol can be indigenously synthesized by solventogenic Clostridium species; however, these microorganisms possess inferior capability of utilizing abundant and renewable organic wastes, such as starch, lignocellulose, and even syngas. The common strategy to achieve direct butanol production from these organic wastes is through genetic modification of wild-type strains. However, due to the complex of butanol synthetic and hydrolytic enzymes expression systems, the recombinants show unsatisfactory results. Recently, setting up microbial co-culturing systems became more attractive, as they could not only perform more complicated tasks, but also endure changeable environments. Hence, this mini-review comprehensively summarized the state-of-the-art biobutanol production from different substrates by using microbial co-culturing systems. Furthermore, strategies regarding establishment principles of microbial co-culturing systems were also analyzed and compared.",Applied microbiology and biotechnology,2018,None,10.1007/s00253-018-8970-0,1,The article is concerned with product production using a microbial co-culture.
